Date,Year,Month,Day,Prec,StDev,%Time,Q,S,is_outlier_Prec
2010-08-25,2010,Agustus,25,0.01,0.17,1.4,1,5,False
2010-08-26,2010,Agustus,26,-0.01,0.01,0.0,1,5,False
2010-08-27,2010,Agustus,27,0.08,0.74,1.4,1,5,False
2010-08-28,2010,Agustus,28,-0.01,0.02,0.0,1,5,False
2010-08-29,2010,Agustus,29,-0.01,0.04,0.0,1,5,False
2010-08-30,2010,Agustus,30,0.0,0.14,0.7,1,5,False
2010-08-31,2010,Agustus,31,0.2,1.39,3.5,1,5,False
2010-09-01,2010,September,1,-0.01,0.02,0.0,1,5,False
2010-09-02,2010,September,2,0.09,0.76,2.1,1,5,False
2010-09-03,2010,September,3,-0.02,0.01,0.0,1,5,False
2010-09-04,2010,September,4,-0.02,0.02,0.0,1,5,False
2010-09-05,2010,September,5,0.18,1.52,2.1,1,5,False
2010-09-06,2010,September,6,-0.01,0.01,0.0,1,5,False
2010-09-07,2010,September,7,-0.01,0.03,0.0,1,5,False
2010-09-08,2010,September,8,-0.01,0.04,0.0,1,5,False
2010-09-09,2010,September,9,0.64,2.72,5.6,1,5,False
2010-09-10,2010,September,10,-0.02,0.02,0.0,1,5,False
2010-09-11,2010,September,11,-0.01,0.04,0.0,1,5,False
2010-09-12,2010,September,12,-0.02,0.04,0.0,1,5,False
2010-09-13,2010,September,13,0.04,0.28,2.1,1,5,False
2010-09-14,2010,September,14,0.06,0.45,2.1,1,5,False
2010-09-15,2010,September,15,0.23,0.85,10.4,1,5,False
2010-09-16,2010,September,16,-0.02,0.02,0.0,1,5,False
2010-09-17,2010,September,17,0.04,0.33,2.1,1,5,False
2010-09-18,2010,September,18,-0.02,0.09,0.0,1,5,False
2010-09-19,2010,September,19,-0.01,0.05,0.0,1,5,False
2010-09-20,2010,September,20,0.09,0.38,5.6,1,5,False
2010-09-21,2010,September,21,-0.01,0.11,0.0,1,5,False
2010-09-22,2010,September,22,0.38,1.7,8.5,1,5,False
2010-09-23,2010,September,23,0.47,2.73,5.6,1,5,False
2010-09-24,2010,September,24,0.15,0.9,3.5,1,5,False
2010-09-25,2010,September,25,0.0,0.12,0.7,1,5,False
2010-09-26,2010,September,26,0.27,1.19,5.6,1,5,False
2010-09-27,2010,September,27,-0.01,0.03,0.0,1,5,False
2010-09-28,2010,September,28,1.03,3.45,16.5,1,5,False
2010-09-29,2010,September,29,0.09,0.34,1.4,1,5,False
2010-09-30,2010,September,30,0.02,0.08,0.0,1,5,False
2010-10-01,2010,Oktober,1,0.04,0.21,1.4,1,5,False
2010-10-02,2010,Oktober,2,0.24,1.29,5.6,1,5,False
2010-10-03,2010,Oktober,3,0.83,2.78,15.3,1,5,False
2010-10-04,2010,Oktober,4,0.01,0.17,0.7,1,5,False
2010-10-05,2010,Oktober,5,0.16,0.75,5.6,1,5,False
2010-10-06,2010,Oktober,6,-0.02,0.02,0.0,1,5,False
2010-10-07,2010,Oktober,7,-0.02,0.04,0.0,1,5,False
2010-10-08,2010,Oktober,8,-0.02,0.01,0.0,1,5,False
2010-10-09,2010,Oktober,9,-0.02,0.01,0.0,1,5,False
2010-10-10,2010,Oktober,10,0.0,0.17,0.7,1,5,False
2010-10-11,2010,Oktober,11,-0.02,0.01,0.0,1,5,False
2010-10-12,2010,Oktober,12,-0.03,0.02,0.0,1,5,False
2010-10-13,2010,Oktober,13,-0.02,0.03,0.0,1,5,False
2010-10-14,2010,Oktober,14,-0.02,0.01,0.0,1,5,False
2010-10-15,2010,Oktober,15,-0.03,0.01,0.0,1,5,False
2010-10-16,2010,Oktober,16,-0.02,0.01,0.0,1,5,False
2010-10-17,2010,Oktober,17,-0.02,0.03,0.0,1,5,False
2010-10-18,2010,Oktober,18,0.0,0.12,0.7,1,5,False
2010-10-19,2010,Oktober,19,-0.01,0.02,0.0,1,5,False
2010-10-20,2010,Oktober,20,-0.01,0.02,0.0,1,5,False
2010-10-21,2010,Oktober,21,-0.03,0.02,0.0,1,5,False
2010-10-22,2010,Oktober,22,0.01,0.29,1.4,1,5,False
2010-10-23,2010,Oktober,23,-0.02,0.02,0.0,1,5,False
2010-10-24,2010,Oktober,24,-0.02,0.01,0.0,1,5,False
2010-10-25,2010,Oktober,25,-0.01,0.01,0.0,1,5,False
