_id,Date,Year,Month,Day,TN,TX,TAVG,__v
689175a03cfdbc8f3403c632,2005-09-26,2005,9,26,22,34,28,0
689175a03cfdbc8f3403c633,2005-09-27,2005,9,27,22,33.6,27.8,0
689175a03cfdbc8f3403c634,2005-09-28,2005,9,28,22,32.6,27.3,0
689175a03cfdbc8f3403c635,2005-09-29,2005,9,29,22,35.4,28.7,0
689175a03cfdbc8f3403c636,2005-09-30,2005,9,30,22,34.4,28.2,0
689175a03cfdbc8f3403c637,2005-10-01,2005,10,1,22,34.2,28.1,0
689175a03cfdbc8f3403c638,2005-10-02,2005,10,2,22,33.6,27.8,0
689175a03cfdbc8f3403c639,2005-10-03,2005,10,3,22,33,27.5,0
689175a03cfdbc8f3403c63a,2005-10-04,2005,10,4,22,29.6,25.8,0
689175a03cfdbc8f3403c63b,2005-10-05,2005,10,5,22,33.8,27.9,0
689175a03cfdbc8f3403c63c,2005-10-06,2005,10,6,22,32,27,0
689175a03cfdbc8f3403c63d,2005-10-07,2005,10,7,22,31.6,26.8,0
689175a03cfdbc8f3403c63e,2005-10-08,2005,10,8,22,27.6,24.8,0
689175a03cfdbc8f3403c63f,2005-10-09,2005,10,9,22,31.2,26.6,0
689175a03cfdbc8f3403c640,2005-10-10,2005,10,10,22,31.2,26.6,0
689175a03cfdbc8f3403c641,2005-10-11,2005,10,11,22,31,26.5,0
689175a03cfdbc8f3403c642,2005-10-12,2005,10,12,22,31.2,26.6,0
689175a03cfdbc8f3403c643,2005-10-13,2005,10,13,22,31.4,26.7,0
689175a03cfdbc8f3403c644,2005-10-14,2005,10,14,22,32,27,0
689175a03cfdbc8f3403c645,2005-10-15,2005,10,15,22,31,26.5,0
689175a03cfdbc8f3403c646,2005-10-16,2005,10,16,22,32,27,0
689175a03cfdbc8f3403c647,2005-10-17,2005,10,17,22,31.8,26.9,0
689175a03cfdbc8f3403c648,2005-10-18,2005,10,18,22,31.8,26.9,0
689175a03cfdbc8f3403c649,2005-10-19,2005,10,19,22,32.4,27.2,0
689175a03cfdbc8f3403c64a,2005-10-20,2005,10,20,22,32.4,27.2,0
689175a03cfdbc8f3403c64b,2005-10-21,2005,10,21,22,32.4,27.2,0
689175a03cfdbc8f3403c64c,2005-10-22,2005,10,22,22,32.4,27.2,0
689175a03cfdbc8f3403c64d,2005-10-23,2005,10,23,21,32.4,26.7,0
689175a03cfdbc8f3403c64e,2005-10-24,2005,10,24,21,32.4,26.7,0
689175a03cfdbc8f3403c64f,2005-10-25,2005,10,25,21,33.2,27.1,0
689175a03cfdbc8f3403c650,2005-10-26,2005,10,26,21,33.4,27.2,0
689175a03cfdbc8f3403c651,2005-10-27,2005,10,27,21,33.4,27.2,0
689175a03cfdbc8f3403c652,2005-10-28,2005,10,28,21,33.4,27.2,0
689175a03cfdbc8f3403c653,2005-10-29,2005,10,29,21,33.4,27.2,0
689175a03cfdbc8f3403c654,2005-10-30,2005,10,30,21,33.4,27.2,0
689175a03cfdbc8f3403c655,2005-10-31,2005,10,31,21,33.4,27.2,0
689175a03cfdbc8f3403c656,2005-11-01,2005,11,1,21,33.4,27.2,0
689175a03cfdbc8f3403c657,2005-11-02,2005,11,2,21,33.4,27.2,0
689175a03cfdbc8f3403c658,2005-11-03,2005,11,3,21,33.4,27.2,0
689175a03cfdbc8f3403c659,2005-11-04,2005,11,4,21,33.4,27.2,0
689175a03cfdbc8f3403c65a,2005-11-05,2005,11,5,21,33.4,27.2,0
689175a03cfdbc8f3403c65b,2005-11-06,2005,11,6,21,33.4,27.2,0
689175a03cfdbc8f3403c65c,2005-11-07,2005,11,7,21,33.4,27.2,0
689175a03cfdbc8f3403c65d,2005-11-08,2005,11,8,21,33.4,27.2,0
689175a03cfdbc8f3403c65e,2005-11-09,2005,11,9,21,33.4,27.2,0
689175a03cfdbc8f3403c65f,2005-11-10,2005,11,10,21,33.4,27.2,0
689175a03cfdbc8f3403c660,2005-11-11,2005,11,11,21,33.4,27.2,0
689175a03cfdbc8f3403c661,2005-11-12,2005,11,12,21,33.4,27.2,0
689175a03cfdbc8f3403c662,2005-11-13,2005,11,13,21,33.4,27.2,0
689175a03cfdbc8f3403c663,2005-11-14,2005,11,14,21,33.4,27.2,0
689175a03cfdbc8f3403c664,2005-11-15,2005,11,15,21,33.4,27.2,0
689175a03cfdbc8f3403c665,2005-11-16,2005,11,16,21,33.4,27.2,0
689175a03cfdbc8f3403c666,2005-11-17,2005,11,17,21,33.4,27.2,0
689175a03cfdbc8f3403c667,2005-11-18,2005,11,18,21,33.4,27.2,0
689175a03cfdbc8f3403c668,2005-11-19,2005,11,19,21,33.4,27.2,0
689175a03cfdbc8f3403c669,2005-11-20,2005,11,20,21,33.4,27.2,0
689175a03cfdbc8f3403c66a,2005-11-21,2005,11,21,21,33.4,27.2,0
689175a03cfdbc8f3403c66b,2005-11-22,2005,11,22,21,33.4,27.2,0
689175a03cfdbc8f3403c66c,2005-11-23,2005,11,23,21,33.4,27.2,0
689175a03cfdbc8f3403c66d,2005-11-24,2005,11,24,21,33.4,27.2,0
689175a03cfdbc8f3403c66e,2005-11-25,2005,11,25,21,33.4,27.2,0
