Date,SST,Prec,RH,WSPD,SWRad
2007-12-11,28.13,,83.4,7.8,193.2
2007-12-12,28.2,,84.8,6.4,202.1
2007-12-13,28.08,,89.1,2.2,118.7
2007-12-14,28.1,,83.9,4.6,169.5
2007-12-15,27.88,,84.3,6.8,70.0
2007-12-16,27.95,,82.3,5.3,214.8
2007-12-17,28.04,,85.3,6.4,198.5
2007-12-18,28.11,,84.4,7.1,203.8
2007-12-19,28.14,,83.9,6.2,241.8
2007-12-20,28.11,,79.3,7.9,192.2
2007-12-21,28.14,,83.6,6.6,202.2
2007-12-22,28.2,,82.7,5.7,231.8
2007-12-23,28.25,,77.5,4.9,221.0
2007-12-24,28.17,,68.8,5.0,218.8
2007-12-25,28.16,,,3.0,229.9
2007-12-26,28.14,,,3.7,267.0
2007-12-27,28.12,,65.8,3.9,225.7
2007-12-28,28.18,,68.5,4.1,239.9
2007-12-29,28.13,,69.3,5.3,206.2
2007-12-30,28.05,,,3.2,248.9
2007-12-31,28.04,,69.8,4.0,204.7
2008-01-01,27.99,,82.1,3.5,82.8
2008-01-02,28.09,,80.2,1.4,155.5
2008-01-03,28.13,,80.4,2.6,226.2
2008-01-04,28.03,,81.6,4.3,210.3
2008-01-05,27.98,,82.4,5.4,243.6
2008-01-06,28.09,,82.7,4.3,231.9
2008-01-07,28.0,,85.2,3.6,128.3
2008-01-08,27.97,,83.6,4.7,157.1
2008-01-09,28.01,,84.9,5.3,171.8
2008-01-10,28.02,,84.7,4.9,225.0
2008-01-11,28.26,,83.5,3.3,184.1
2008-01-12,28.08,,83.3,4.8,130.4
2008-01-13,28.2,,72.4,6.4,268.5
2008-01-14,28.47,,71.7,6.2,251.0
2008-01-15,28.42,,70.7,6.0,255.6
2008-01-16,28.5,,73.8,6.1,252.7
2008-01-17,28.5,,74.6,7.0,242.6
2008-01-18,28.38,,75.3,6.2,264.9
2008-01-19,28.36,,83.1,5.4,150.0
2008-01-20,28.3,,78.8,8.2,242.4
2008-01-21,28.3,,76.6,7.2,250.5
2008-01-22,28.24,,75.2,7.8,249.7
2008-01-23,28.22,,81.0,7.1,226.5
2008-01-24,28.31,,82.0,6.6,209.7
2008-01-25,28.37,,81.7,5.4,218.9
2008-01-26,28.35,,84.5,2.7,198.5
2008-01-27,28.42,,82.6,2.4,237.2
2008-01-28,28.44,,83.6,3.1,137.5
2008-01-29,28.86,,79.8,3.4,270.4
2008-01-30,28.63,,85.7,3.9,111.8
2008-01-31,29.1,,82.0,2.0,227.9
2008-02-01,29.28,,77.8,3.2,262.6
2008-02-02,29.09,,80.4,3.7,229.8
2008-02-03,29.17,,81.8,6.6,244.5
2008-02-04,29.4,,80.9,6.1,217.7
2008-02-05,29.31,,81.7,7.3,241.1
2008-02-06,29.24,,82.7,6.3,225.7
2008-02-07,29.03,,82.6,4.8,146.3
2008-02-08,29.1,,78.9,4.4,207.9
2008-02-09,28.99,,78.7,4.5,198.9
2008-02-10,29.01,,78.6,4.8,266.3
2008-02-11,28.86,,78.5,7.1,251.9
2008-02-12,28.69,,80.9,6.1,229.1
2008-02-13,28.63,,79.7,5.5,171.7
2008-02-14,28.58,,77.7,6.3,247.2
2008-02-15,28.55,,80.3,6.8,238.7
2008-02-16,28.4,,80.9,6.7,151.8
2008-02-17,28.38,,80.0,6.8,258.7
2008-02-18,28.44,,79.4,4.9,281.4
2008-02-19,28.54,,77.8,4.7,279.2
2008-02-20,28.53,,75.6,5.0,227.4
2008-02-21,28.54,,78.1,6.6,271.1
2008-02-22,28.52,,73.3,7.5,273.1
2008-02-23,28.63,,71.8,6.7,263.6
2008-02-24,28.6,,75.8,4.0,103.0
2008-02-25,29.02,,78.9,1.2,212.8
2008-02-26,28.83,,79.6,2.9,133.5
2008-02-27,28.66,,79.7,5.9,256.0
2008-02-28,28.83,,79.4,4.3,273.6
2008-02-29,28.96,,79.7,3.2,274.5
2008-03-01,29.14,,79.5,3.0,271.1
2008-03-02,28.97,,81.8,2.5,237.0
2008-03-03,28.62,,81.4,4.1,124.7
2008-03-04,28.46,,78.0,5.3,147.7
2008-03-05,28.84,,78.6,5.6,213.6
2008-03-06,28.56,,77.9,7.6,268.8
2008-03-07,28.34,,81.8,7.2,61.0
2008-03-08,28.5,,83.2,7.1,147.1
2008-03-09,28.38,,84.5,4.3,117.7
2008-03-10,28.6,,82.2,6.6,162.3
2008-03-11,28.59,,82.8,5.3,177.8
2008-03-12,28.81,,79.9,4.1,260.7
2008-03-13,28.9,,82.1,1.7,168.8
2008-03-14,28.79,,84.0,6.2,191.8
2008-03-15,28.7,,80.9,7.0,230.8
2008-03-16,28.95,,82.0,4.6,211.3
2008-03-17,28.9,,81.0,4.5,168.3
2008-03-18,29.24,,77.2,1.8,262.5
2008-03-19,29.47,,74.7,1.6,276.5
2008-03-20,29.61,,74.4,1.6,308.9
2008-03-21,29.91,,70.5,0.4,302.5
2008-03-22,29.88,,71.1,0.5,291.4
2008-03-23,30.06,,78.5,2.2,268.7
2008-03-24,29.65,,78.8,4.4,281.4
2008-03-25,29.21,,79.7,2.7,109.7
2008-03-26,29.1,,80.0,1.9,40.3
2008-03-27,29.01,,83.6,5.1,149.6
2008-03-28,28.64,,86.7,3.8,78.5
2008-03-29,28.73,,84.6,5.4,174.7
2008-03-30,28.68,,85.1,4.4,126.5
2008-03-31,28.91,,81.3,3.4,266.5
2008-04-01,29.07,,80.7,1.3,253.2
2008-04-02,29.27,,80.3,0.9,221.3
2008-04-03,29.72,,75.0,1.4,300.2
2008-04-04,29.44,,74.5,3.0,302.1
2008-04-05,29.17,,80.2,4.1,215.5
2008-04-06,29.03,,82.7,4.3,219.8
2008-04-07,28.92,,81.8,4.9,169.4
2008-04-08,29.13,,81.0,3.8,284.4
2008-04-09,29.15,,81.1,3.3,264.1
2008-04-10,29.53,,77.7,2.4,303.5
2008-04-11,29.47,,79.6,2.5,284.1
2008-04-12,29.79,,76.7,0.5,239.4
2008-04-13,29.74,,80.3,0.8,255.7
2008-04-14,29.75,,75.8,3.5,267.8
2008-04-15,30.01,,75.5,3.1,294.2
2008-04-16,30.08,,73.8,1.0,284.7
2008-04-17,30.15,,75.1,1.0,275.0
2008-04-18,30.21,,77.8,2.6,292.6
2008-04-19,29.93,,75.3,3.7,244.2
2008-04-20,29.92,,74.7,3.7,179.8
2008-04-21,29.9,,75.8,3.1,226.1
2008-04-22,29.99,,81.9,3.0,209.9
2008-04-23,29.85,,81.8,0.9,202.6
2008-04-24,29.74,,78.8,1.8,89.6
2008-04-25,29.66,,80.6,3.2,171.4
2008-04-26,29.69,,80.7,5.7,268.6
2008-04-27,29.54,,83.7,8.5,185.5
2008-04-28,29.31,,87.1,8.8,43.2
2008-04-29,29.28,,84.3,9.4,48.2
2008-04-30,29.31,,82.0,9.4,172.8
2008-05-01,29.24,,79.8,10.1,192.5
2008-05-02,29.22,,78.8,10.4,263.1
2008-05-03,29.2,,81.0,9.2,209.0
2008-05-04,29.23,,79.7,8.2,268.7
2008-05-05,29.25,,81.4,7.4,246.8
2008-05-06,29.25,,81.4,7.6,274.7
2008-05-07,29.26,,81.6,7.3,266.5
2008-05-08,29.27,,81.0,7.7,257.1
2008-05-09,29.24,,80.7,8.7,215.2
2008-05-10,29.25,,79.6,8.1,277.4
2008-05-11,29.23,,76.1,9.5,247.4
2008-05-12,29.15,,78.6,10.0,275.9
2008-05-13,29.13,,80.3,9.8,207.0
2008-05-14,29.12,,77.8,10.1,248.2
2008-05-15,29.09,,79.0,9.9,259.6
2008-05-16,29.05,,81.2,9.6,262.7
2008-05-17,29.05,,82.2,8.8,267.6
2008-05-18,29.07,,82.5,8.4,274.2
2008-05-19,29.08,,82.9,8.2,271.3
2008-05-20,29.1,,82.6,7.6,220.5
2008-05-21,29.2,,81.9,5.9,281.1
2008-05-22,29.28,,80.3,5.2,279.9
2008-05-23,29.39,,80.4,4.8,283.6
2008-05-24,29.29,,82.6,4.8,178.1
2008-05-25,29.23,,81.0,5.7,92.1
2008-05-26,29.26,,79.3,5.3,239.6
2008-05-27,29.35,,79.3,5.3,284.5
2008-05-28,29.38,,79.2,6.0,292.1
2008-05-29,29.41,,79.3,6.8,273.5
2008-05-30,29.35,,80.4,7.5,250.1
2008-05-31,29.27,,84.2,6.4,87.8
2008-06-01,28.92,,87.3,4.7,
2008-06-02,29.2,,81.8,4.0,242.0
2008-06-03,29.14,,83.2,5.1,148.7
2008-06-04,29.21,,84.2,3.3,162.0
2008-06-05,29.24,,82.7,4.9,243.8
