id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD118,PTN078,nov - jan,7500,April,7500,19,3500,10.500.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Tikus, Tulo/burung pipit",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD119,PTN078,mei - juli,7500,Agustus,7500,19,3500,10.500.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Tikus, Tulo/burung pipit",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD120,PTN079,nov - jan,8432,Maret,8432,30,5500,10.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Wereng, Tulo/burung pipit, Hama putih",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD121,PTN079,mei - juli,8432,Agustus,8432,26,4800,10.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Wereng, Tulo/burung pipit, Hama putih",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD122,PTN080,nov - jan,2500,Januari,2500,9,1650,4.200.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD123,PTN080,mei - juli,2500,Juli,2500,5,960,2.900.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD124,PTN081,feb - apr,5000,April,5000,19,3400,5.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"NPK, Pupuk SP-36, KCL, Pupuk urea",Ada,"Tikus, Wereng, Tulo/burung pipit, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Herbisida
PRD125,PTN081,mei - juli,5000,Agustus,5000,18,3300,5.000.000,6600,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Herbisida
PRD126,PTN082,feb - apr,3750,April,3750,7,1300,4.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"NPK, Pupuk SP-36, KCL, Pupuk urea",Ada,"Tikus, Wereng, Tulo/burung pipit, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Herbisida
PRD127,PTN082,mei - juli,3750,Agustus,3750,7,1300,4.000.000,6600,Ya sebagian,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Herbisida
PRD128,PTN083,agt - okt,1300,April,1300,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD129,PTN083,mei - juli,1300,Agustus,1300,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD130,PTN084,agt - okt,1250,April,1250,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD131,PTN084,mei - juli,1250,Agustus,1250,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD132,PTN085,nov - jan,7500,Maret,7500,44,8000,7.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Wereng, Tulo/burung pipit",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD133,PTN085,mei - juli,7500,Agustus,7500,38,7000,7.000.000,6700,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Wereng, Tulo/burung pipit",Blas,Ada,Ada,Herbisida/Mencabut rumput
PRD134,PTN086,agt - okt,700,April,700,1,300,700.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD135,PTN086,mei - juli,700,Agustus,700,1,300,700.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD136,PTN087,agt - okt,1300,April,1300,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD137,PTN087,mei - juli,1300,Agustus,1300,4,800,1.300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, Kepnding",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
