Date,Year,Month,Day,SST,Q,S
2007-12-06,2007,Desember,6,27.91,4,5
2007-12-07,2007,Desember,7,28.02,4,5
2007-12-08,2007,Desember,8,27.96,4,5
2007-12-09,2007,Desember,9,28.06,4,5
2007-12-10,2007,Desember,10,27.97,4,5
2007-12-11,2007,Desember,11,28.13,4,5
2007-12-12,2007,Desember,12,28.2,4,5
2007-12-13,2007,Desember,13,28.08,4,5
2007-12-14,2007,Desember,14,28.1,4,5
2007-12-15,2007,Desember,15,27.88,4,5
2007-12-16,2007,Desember,16,27.95,4,5
2007-12-17,2007,Desember,17,28.04,4,5
2007-12-18,2007,Desember,18,28.11,4,5
2007-12-19,2007,Desember,19,28.14,4,5
2007-12-20,2007,Desember,20,28.11,4,5
2007-12-21,2007,Desember,21,28.14,4,5
2007-12-22,2007,Desember,22,28.2,4,5
2007-12-23,2007,Desember,23,28.25,4,5
2007-12-24,2007,Desember,24,28.17,4,5
2007-12-25,2007,Desember,25,28.16,4,5
2007-12-26,2007,Desember,26,28.14,4,5
2007-12-27,2007,Desember,27,28.12,4,5
2007-12-28,2007,Desember,28,28.18,4,5
2007-12-29,2007,Desember,29,28.13,4,5
2007-12-30,2007,Desember,30,28.05,4,5
2007-12-31,2007,Desember,31,28.04,4,5
2008-01-01,2008,Januari,1,27.99,4,5
2008-01-02,2008,Januari,2,28.09,4,5
2008-01-03,2008,Januari,3,28.13,4,5
2008-01-04,2008,Januari,4,28.03,4,5
2008-01-05,2008,Januari,5,27.98,4,5
2008-01-06,2008,Januari,6,28.09,4,5
2008-01-07,2008,Januari,7,28.0,4,5
2008-01-08,2008,Januari,8,27.97,4,5
2008-01-09,2008,Januari,9,28.01,4,5
2008-01-10,2008,Januari,10,28.02,4,5
2008-01-11,2008,Januari,11,28.26,4,5
2008-01-12,2008,Januari,12,28.08,4,5
2008-01-13,2008,Januari,13,28.2,4,5
2008-01-14,2008,Januari,14,28.47,4,5
2008-01-15,2008,Januari,15,28.42,4,5
2008-01-16,2008,Januari,16,28.5,4,5
2008-01-17,2008,Januari,17,28.5,4,5
2008-01-18,2008,Januari,18,28.38,4,5
2008-01-19,2008,Januari,19,28.36,4,5
2008-01-20,2008,Januari,20,28.3,4,5
2008-01-21,2008,Januari,21,28.3,4,5
2008-01-22,2008,Januari,22,28.24,4,5
2008-01-23,2008,Januari,23,28.22,4,5
2008-01-24,2008,Januari,24,28.31,4,5
2008-01-25,2008,Januari,25,28.37,4,5
2008-01-26,2008,Januari,26,28.35,4,5
2008-01-27,2008,Januari,27,28.42,4,5
2008-01-28,2008,Januari,28,28.44,4,5
2008-01-29,2008,Januari,29,28.86,4,5
2008-01-30,2008,Januari,30,28.63,4,5
2008-01-31,2008,Januari,31,29.1,4,5
2008-02-01,2008,Februari,1,29.28,4,5
2008-02-02,2008,Februari,2,29.09,4,5
2008-02-03,2008,Februari,3,29.17,4,5
2008-02-04,2008,Februari,4,29.4,4,5
2008-02-05,2008,Februari,5,29.31,4,5
2008-02-06,2008,Februari,6,29.24,4,5
2008-02-07,2008,Februari,7,29.03,4,5
2008-02-08,2008,Februari,8,29.1,4,5
2008-02-09,2008,Februari,9,28.99,4,5
2008-02-10,2008,Februari,10,29.01,4,5
2008-02-11,2008,Februari,11,28.86,4,5
2008-02-12,2008,Februari,12,28.69,4,5
2008-02-13,2008,Februari,13,28.63,4,5
2008-02-14,2008,Februari,14,28.58,4,5
2008-02-15,2008,Februari,15,28.55,4,5
2008-02-16,2008,Februari,16,28.4,4,5
2008-02-17,2008,Februari,17,28.38,4,5
2008-02-18,2008,Februari,18,28.44,4,5
2008-02-19,2008,Februari,19,28.54,4,5
2008-02-20,2008,Februari,20,28.53,4,5
2008-02-21,2008,Februari,21,28.54,4,5
2008-02-22,2008,Februari,22,28.52,4,5
2008-02-23,2008,Februari,23,28.63,4,5
2008-02-24,2008,Februari,24,28.6,4,5
2008-02-25,2008,Februari,25,29.02,4,5
2008-02-26,2008,Februari,26,28.83,4,5
2008-02-27,2008,Februari,27,28.66,4,5
2008-02-28,2008,Februari,28,28.83,4,5
2008-02-29,2008,Februari,29,28.96,4,5
2008-03-01,2008,Maret,1,29.14,4,5
2008-03-02,2008,Maret,2,28.97,4,5
2008-03-03,2008,Maret,3,28.62,4,5
2008-03-04,2008,Maret,4,28.46,4,5
2008-03-05,2008,Maret,5,28.84,4,5
2008-03-06,2008,Maret,6,28.56,4,5
2008-03-07,2008,Maret,7,28.34,4,5
2008-03-08,2008,Maret,8,28.5,4,5
2008-03-09,2008,Maret,9,28.38,4,5
2008-03-10,2008,Maret,10,28.6,4,5
2008-03-11,2008,Maret,11,28.59,4,5
2008-03-12,2008,Maret,12,28.81,4,5
2008-03-13,2008,Maret,13,28.9,4,5
2008-03-14,2008,Maret,14,28.79,4,5
2008-03-15,2008,Maret,15,28.7,4,5
2008-03-16,2008,Maret,16,28.95,4,5
2008-03-17,2008,Maret,17,28.9,4,5
2008-03-18,2008,Maret,18,29.24,4,5
2008-03-19,2008,Maret,19,29.47,4,5
2008-03-20,2008,Maret,20,29.61,4,5
2008-03-21,2008,Maret,21,29.91,4,5
2008-03-22,2008,Maret,22,29.88,4,5
2008-03-23,2008,Maret,23,30.06,4,5
2008-03-24,2008,Maret,24,29.65,4,5
2008-03-25,2008,Maret,25,29.21,4,5
2008-03-26,2008,Maret,26,29.1,4,5
2008-03-27,2008,Maret,27,29.01,4,5
2008-03-28,2008,Maret,28,28.64,4,5
2008-03-29,2008,Maret,29,28.73,4,5
2008-03-30,2008,Maret,30,28.68,4,5
2008-03-31,2008,Maret,31,28.91,4,5
2008-04-01,2008,April,1,29.07,4,5
2008-04-02,2008,April,2,29.27,4,5
2008-04-03,2008,April,3,29.72,4,5
2008-04-04,2008,April,4,29.44,4,5
2008-04-05,2008,April,5,29.17,4,5
2008-04-06,2008,April,6,29.03,4,5
2008-04-07,2008,April,7,28.92,4,5
2008-04-08,2008,April,8,29.13,4,5
2008-04-09,2008,April,9,29.15,4,5
2008-04-10,2008,April,10,29.53,4,5
2008-04-11,2008,April,11,29.47,4,5
2008-04-12,2008,April,12,29.79,4,5
2008-04-13,2008,April,13,29.74,4,5
2008-04-14,2008,April,14,29.75,4,5
2008-04-15,2008,April,15,30.01,4,5
2008-04-16,2008,April,16,30.08,4,5
2008-04-17,2008,April,17,30.15,4,5
2008-04-18,2008,April,18,30.21,4,5
2008-04-19,2008,April,19,29.93,4,5
2008-04-20,2008,April,20,29.92,4,5
2008-04-21,2008,April,21,29.9,4,5
2008-04-22,2008,April,22,29.99,4,5
2008-04-23,2008,April,23,29.85,4,5
2008-04-24,2008,April,24,29.74,4,5
2008-04-25,2008,April,25,29.66,4,5
2008-04-26,2008,April,26,29.69,4,5
2008-04-27,2008,April,27,29.54,4,5
2008-04-28,2008,April,28,29.31,4,5
2008-04-29,2008,April,29,29.28,4,5
2008-04-30,2008,April,30,29.31,4,5
2008-05-01,2008,Mei,1,29.24,4,5
2008-05-02,2008,Mei,2,29.22,4,5
2008-05-03,2008,Mei,3,29.2,4,5
2008-05-04,2008,Mei,4,29.23,4,5
2008-05-05,2008,Mei,5,29.25,4,5
2008-05-06,2008,Mei,6,29.25,4,5
2008-05-07,2008,Mei,7,29.26,4,5
2008-05-08,2008,Mei,8,29.27,4,5
2008-05-09,2008,Mei,9,29.24,4,5
2008-05-10,2008,Mei,10,29.25,4,5
2008-05-11,2008,Mei,11,29.23,4,5
2008-05-12,2008,Mei,12,29.15,4,5
2008-05-13,2008,Mei,13,29.13,4,5
2008-05-14,2008,Mei,14,29.12,4,5
2008-05-15,2008,Mei,15,29.09,4,5
2008-05-16,2008,Mei,16,29.05,4,5
2008-05-17,2008,Mei,17,29.05,4,5
2008-05-18,2008,Mei,18,29.07,4,5
2008-05-19,2008,Mei,19,29.08,4,5
2008-05-20,2008,Mei,20,29.1,4,5
2008-05-21,2008,Mei,21,29.2,4,5
2008-05-22,2008,Mei,22,29.28,4,5
2008-05-23,2008,Mei,23,29.39,4,5
2008-05-24,2008,Mei,24,29.29,4,5
2008-05-25,2008,Mei,25,29.23,4,5
2008-05-26,2008,Mei,26,29.26,4,5
2008-05-27,2008,Mei,27,29.35,4,5
2008-05-28,2008,Mei,28,29.38,4,5
2008-05-29,2008,Mei,29,29.41,4,5
2008-05-30,2008,Mei,30,29.35,4,5
2008-05-31,2008,Mei,31,29.27,4,5
2008-06-01,2008,Juni,1,28.92,4,5
2008-06-02,2008,Juni,2,29.2,4,5
2008-06-03,2008,Juni,3,29.14,4,5
2008-06-04,2008,Juni,4,29.21,4,5
2008-06-05,2008,Juni,5,29.24,4,5
2008-06-06,2008,Juni,6,29.17,4,5
2008-06-07,2008,Juni,7,29.1,4,5
2008-06-08,2008,Juni,8,29.18,4,5
2008-06-09,2008,Juni,9,29.06,4,5
2008-06-10,2008,Juni,10,29.06,4,5
2008-06-11,2008,Juni,11,29.05,4,5
2008-06-12,2008,Juni,12,28.98,4,5
2008-06-13,2008,Juni,13,29.0,4,5
2008-06-14,2008,Juni,14,29.01,4,5
2008-06-15,2008,Juni,15,29.06,4,5
2008-06-16,2008,Juni,16,29.0,4,5
2008-06-17,2008,Juni,17,29.04,4,5
2008-06-18,2008,Juni,18,29.04,4,5
2008-06-19,2008,Juni,19,29.07,4,5
2008-06-20,2008,Juni,20,29.07,4,5
